	H1	H2	H3	H4	H5	H6	H7	H8	N1	N2	N3	N4	N5	N6	N7	N8	O1	O2	O3	O4	O5	O6	O7	O8
N3	0.732855962544753	0.719137645107794	0.746008806593655	0.744189228814388	0.732592311229284	0.731796914272457	0.750190608602054	0.67385302733346	0.611396659967631	0.607307232213459	0	0.681102775851562	0.637358217359826	0.582446014528809	0.570858207536408	0.69646824809023	0.71957989207172	0.608648691109758	0.620289493386573	0.764145061045518	0.709177592371871	0.752527071987116	0.716168660822829	0.690986818667617
N4	0.476636685574603	0.549371312794232	0.600024523327816	0.542135115972855	0.576724542468325	0.474425222796375	0.663721113844098	0.173577735553817	0.481913652275379	0.351213553560996	0.681102775851562	0	0.51772155224508	0.508371779586336	0.472285330401857	0.526437039950553	0.614266446875468	0.458709052931887	0.459048351225941	0.550112997319599	0.567716489762775	0.614141755334122	0.593402225755167	0.502484430154912
N5	0.49312654212196	0.39602767739586	0.553586327933941	0.463761500948903	0.474526461363692	0.48149025927857	0.706610391832544	0.495345832344488	0.483757682177349	0.384766164903375	0.637358217359826	0.51772155224508	0	0.359726895399956	0.398885535175296	0.383127037557317	0.587271477011358	0.442997608291257	0.579053843759726	0.630247082535022	0.606630799901685	0.574944903215528	0.556465644155357	0.500514888869819
N6	0.527672501084912	0.476172069136893	0.562900391178638	0.49155357312328	0.486126688447847	0.495961605993211	0.696068789164583	0.508115700759546	0.494663278271919	0.402738502753386	0.582446014528809	0.508371779586336	0.359726895399956	0	0.195338487302425	0.532287581699346	0.622569916147468	0.450971035930715	0.573713437571973	0.6575288626873	0.602832678119446	0.586297208108533	0.532787750791975	0.494112405321113
N7	0.516170973508857	0.548261647351637	0.585076134038426	0.517089503606661	0.500265178592017	0.496494186562528	0.722140221402214	0.488246684805255	0.462126560829484	0.376661119835001	0.570858207536408	0.472285330401857	0.398885535175296	0.195338487302425	0	0.476344112504002	0.611605656314516	0.442699979668828	0.502727492155443	0.611731648979402	0.563444835532147	0.582730973233008	0.520244575348594	0.484136927615891
N8	0.500079171548912	0.48474270237737	0.697615360792815	0.599284984678243	0.584862988481565	0.528884637651975	0.767048068959171	0.553361913357401	0.531967806113221	0.487595777742056	0.69646824809023	0.526437039950553	0.383127037557317	0.532287581699346	0.476344112504002	0	0.635067747947413	0.51651852232441	0.41838233256671	0.645458883410212	0.604333821376281	0.696255043473319	0.547747334632581	0.577437988447163
O1	0.639377030065795	0.654403567447046	0.510317417106768	0.450279790844877	0.46592889098187	0.683457472097077	0.772750587155468	0.592832080200501	0.609951516147588	0.526933205649988	0.71957989207172	0.614266446875468	0.587271477011358	0.622569916147468	0.611605656314516	0.635067747947413	0	0.609914687572054	0.688352700268917	0.690746098752549	0.694719386433124	0.675816136031081	0.645312182224934	0.626870279281319
O2	0.569875996708379	0.551092318534179	0.585025310118485	0.53596114328414	0.52127608539218	0.509345255928649	0.714364503764167	0.450102249488753	0.507641556706197	0.372139546230788	0.608648691109758	0.458709052931887	0.442997608291257	0.450971035930715	0.442699979668828	0.51651852232441	0.609914687572054	0	0.505798304530476	0.651766297781859	0.533135875601629	0.604663132430902	0.603226475775495	0.489552176368466
O3	0.530366621404765	0.555509880494465	0.681976024398345	0.623827744016805	0.635549378426376	0.525472209892982	0.734936875486148	0.484441749579693	0.388268714352294	0.434959243047729	0.620289493386573	0.459048351225941	0.579053843759726	0.573713437571973	0.502727492155443	0.41838233256671	0.688352700268917	0.505798304530476	0	0.59890010116994	0.513966320725048	0.662419144387996	0.528318261989417	0.545317086186961
O4	0.510473896054294	0.643933875035024	0.677122302158273	0.620663142719846	0.6643778096132	0.660321900111409	0.579052454433954	0.567042937018673	0.483080613381307	0.551601065701503	0.764145061045518	0.550112997319599	0.630247082535022	0.6575288626873	0.611731648979402	0.645458883410212	0.690746098752549	0.651766297781859	0.59890010116994	0	0.654028953837749	0.509374834014979	0.60799957164275	0.590902263705611
O5	0.615493188905301	0.593748054050688	0.623709025594971	0.616011354079058	0.61407596034025	0.465544477534637	0.714675897989646	0.562136035406476	0.563729128014842	0.509250566079417	0.709177592371871	0.567716489762775	0.606630799901685	0.602832678119446	0.563444835532147	0.604333821376281	0.694719386433124	0.533135875601629	0.513966320725048	0.654028953837749	0	0.501672437063553	0.541799881586738	0.459019821997072
O6	0.562410739788632	0.599903504010615	0.604990379243995	0.566100480916812	0.608040465777965	0.582339443758037	0.627001936614306	0.60709845145247	0.534553029616883	0.516667561329111	0.752527071987116	0.614141755334122	0.574944903215528	0.586297208108533	0.582730973233008	0.696255043473319	0.675816136031081	0.604663132430902	0.662419144387996	0.509374834014979	0.501672437063553	0	0.530381346198024	0.507271366018558
