"Lactobacillus"	"Blautia"	"Allobaculum"	"Desulfovibrio"	"Collinsella"	"Dorea"	"Treponema"	"Oscillospira"	"[Ruminococcus]"	"Ruminococcus"	"Streptococcus"	"Clostridium"	"Coprococcus"	"Adlercreutzia"	"[Prevotella]"	"Gemella"	"Turicibacter"	"Butyricicoccus"	"p-75-a5"	"Shuttleworthia"	"Staphylococcus"	"Roseburia"	"Bifidobacterium"	"Holdemania"	"Dehalobacterium"	"Escherichia"	"Aggregatibacter"	"Bacteroides"	"Defluviitalea"	"Jeotgalicoccus"	"Coprobacillus"	"Corynebacterium"	"Helicobacter"	"Prevotella"	"rc4-4"	"[Eubacterium]"	"Enterococcus"	"Facklamia"	"Actinomyces"	"Rothia"	"Christensenella"	"Burkholderia"	"CandidatusArthromitus"	"Anaerostipes"	"Akkermansia"	"Veillonella"	"Lactococcus"	"Anaerofustis"	"Enterobacter"	"Psychrobacter"
"Streptococcus"	0.516741655516251	0.799308243488264	0.192316976083001	0.610301978528463	0.27312047592983	0.199711240158055	0.00251416538350209	0.849615150032418	0.621751508867118	0.475254967674384	1.08802213777868e-173	0.923188185028595	0.926405574570626	0.134552646504396	0.461521980759029	0.594279341775203	0.860729358586374	0.602837666913097	0.926405574570626	0.893561553599894	0.936453963185435	0.911027700802173	0.936453963185435	0.704058043171018	0.942791491678844	0.999089350382565	0.499438916221795	0.862214635038963	0.777269393729071	0.602837666913097	0.999089350382565	0.677266132689928	0.989898648383518	0.234873711719174	0.342516675330112	0.721903676535917	0.277924773987164	0.70512863962257	0.70512863962257	0.595285748143058	0.499801823400364	0.926405574570626	0.936453963185435	0.813458848829126	0.602837666913097	0.926405574570626	0.926405574570626	0.926405574570626	0.762469696235529	0.893561553599894
"Clostridium"	0.00067789315736134	0.500982716328062	0.680239796748995	0.85278043943399	0.437966901608239	0.357374069515903	0.177401595576643	0.153113647460901	0.267633510406691	0.246394648444848	0.47779698719031	1.08802213777868e-173	0.926405574570626	0.926405574570626	0.950709700771698	0.926405574570626	0.813458848829126	0.813458848829126	0.059144497162299	0.882644784641063	0.926405574570626	0.993348316990701	0.926405574570626	0.731783364396186	0.502034487207252	0.863886250909982	0.813458848829126	0.926405574570626	0.950709700771698	0.602837666913097	0.926405574570626	0.8627488764717	0.51675771419068	0.926405574570626	0.926405574570626	0.721139207652146	0.926405574570626	0.926405574570626	0.926405574570626	0.8627488764717	0.602837666913097	0.994552763426744	0.8627488764717	0.926405574570626	0.926405574570626	0.989898648383518	0.602837666913097	0.677266132689928	0.926405574570626	0.721903676535917
"Coprococcus"	0.0252460556420454	0.232863565304954	0.137518029592144	0.0580363388702506	0.321605035459752	0.397674207416904	0.276758645910562	7.50469673311601e-05	0.000460063174833891	0.321605035459752	0.511462281884675	0.677268946842897	1.08802213777868e-173	0.499801823400364	0.849900223123443	0.926405574570626	0.309671715791737	0.926405574570626	0.926405574570626	0.721903676535917	0.762469696235529	0.692428898803558	0.222516516628081	0.955523291517663	0.234873711719174	0.936453963185435	0.813458848829126	0.893561553599894	0.804543400730293	0.926405574570626	0.602837666913097	0.936453963185435	0.926405574570626	0.926405574570626	0.282468380826141	0.794219946475282	0.78536230113911	0.886832807159005	0.762469696235529	0.905225260965937	0.886832807159005	0.886832807159005	0.926405574570626	0.926405574570626	0.602837666913097	0.923121348238813	0.984496720996591	0.893561553599894	0.721903676535917	0.926405574570626
"Adlercreutzia"	0.264014961213832	0.768242407223753	0.0296009473311168	0.219831960169935	0.967832994170269	0.796187499525551	0.0209818387026238	0.0468661692649131	0.0139710330610452	0.372752777842713	0.00373452243359139	0.704169714436088	0.0453469080201824	1.08802213777868e-173	0.92325925322307	0.984496720996591	0.602837666913097	0.862214635038963	0.523611237732871	0.602837666913097	0.926405574570626	0.813458848829126	0.059144497162299	0.731783364396186	0.602837666913097	0.499801823400364	0.958076279782617	0.926405574570626	0.92325925322307	0.926405574570626	0.880384275360154	0.926405574570626	0.936453963185435	0.750195193877991	0.499438916221795	0.282468380826141	0.926405574570626	0.96324334688366	0.721903676535917	0.958055356431658	0.294618894194297	0.936453963185435	0.926405574570626	0.721903676535917	0.762469696235529	0.926405574570626	0.602837666913097	0.926405574570626	0.926405574570626	0.936453963185435
"[Prevotella]"	0.950931302523641	0.0291465075782418	0.584430781537278	0.24014211837985	0.035828460291606	0.169213167503655	0.0107204390019699	0.178110887957597	0.612169169447431	0.0626444875009436	0.0376752637354309	0.87077247695171	0.310493712716307	0.479341130652957	0	0.641031287745804	0.886832807159005	0.523198311487457	0.602837666913097	0.762469696235529	0.926405574570626	0.994552763426744	0.721903676535917	0.622937861381145	0.731783364396186	0.926405574570626	0.480399616497269	0.0944492604232402	0.989898648383518	0.95064718974801	0.962327322472753	0.852628737200377	0.523198311487457	0.104169267541876	0.762469696235529	0.762469696235529	0.499438916221795	0.926405574570626	0.926405574570626	0.311709846327517	0.70512863962257	0.8627488764717	0.541146701160503	0.926405574570626	0.886832807159005	0.984496720996591	0.886832807159005	0.886832807159005	0.541146701160503	0.886832807159005
"Gemella"	0.761429678846723	0.7850477561037	0.778279946754126	0.751369262493563	0.575307210672882	0.985972815207691	0.453872509751997	0.473799487034037	0.926450898801977	0.572279999654191	0.0795606628988843	0.634109417557044	0.501832351184726	0.943931558657437	0.118263731453512	0	0.733919924304288	0.945228798514384	0.813458848829126	0.926405574570626	0.911027700802173	0.926405574570626	0.736051456392247	0.926405574570626	0.930622679741653	0.945228798514384	0.677266132689928	0.976835696857616	0.926405574570626	0.499801823400364	0.926405574570626	0.541146701160503	0.989898648383518	0.499801823400364	0.926405574570626	0.926405574570626	0.597790656620997	0.813458848829126	0.762469696235529	0.406103957056662	0.989144959204786	0.0296619678511325	0.926405574570626	0.926405574570626	0.886832807159005	0.958949588934703	0.886832807159005	0.886832807159005	0.936453963185435	0.886832807159005
"Turicibacter"	0.404755022339122	0.763109778124244	0.11144504305357	0.28322976269573	0.977431097515176	0.65149700469664	0.915663581714006	0.00494812993747032	0.488363529940724	0.183406104592852	0.324617929524004	0.259358361195657	0.0208309763577091	0.0869287223369285	0.397465284012077	0.19104883302609	0	0.926405574570626	0.926405574570626	0.893561553599894	0.641031287745804	0.8627488764717	0.602837666913097	0.893561553599894	0.163539791542579	0.926405574570626	0.8627488764717	0.853140859146632	0.70512863962257	0.70512863962257	0.677266132689928	0.8627488764717	0.731783364396186	0.951366806941865	0.541146701160503	0.721903676535917	0.74841150790866	0.930617999277929	0.504494663653576	0.876427029299457	0.831077161643972	0.61704137659869	0.670761068462488	0.893561553599894	0.70512863962257	0.926405574570626	0.893561553599894	0.70512863962257	0.926405574570626	0.813458848829126
"Butyricicoccus"	0.654056734412376	0.0347907327227854	0.281832950698063	0.765423308738805	0.605157118512389	0.00191643100451793	0.134602081284458	0.592090655361147	0.316321600260889	0.854599782862323	0.0948152500857753	0.263433263059149	0.545247314706345	0.33048826149721	0.0629812394635257	0.860266229156663	0.743577946945495	0	0.721903676535917	0.926405574570626	0.844682024489712	0.926405574570626	0.926405574570626	0.0782691206657409	0.926405574570626	0.861238825519691	0.926405574570626	0.8627488764717	0.94104860361524	0.926405574570626	0.518200722186278	0.926405574570626	0.926405574570626	0.926405574570626	0.70512863962257	0.0102658393589159	0.893561553599894	0.893561553599894	0.813458848829126	0.813458848829126	0.731783364396186	0.94104860361524	0.926405574570626	0.926405574570626	0.926405574570626	0.857688111644649	0.202321949042883	0.926405574570626	0.926405574570626	0.926405574570626
"p-75-a5"	0.00676729077971627	0.0574330885552701	0.554416387313345	0.530053886545385	0.311514449128511	0.104983024800933	0.225051468174775	0.890922604376705	0.0994067009930168	0.647823123713365	0.573709735195867	0.00111046810998602	0.680239796748995	0.0636882240181206	0.098728988238482	0.280976360882105	0.623867907535996	0.172524090663094	1.08802213777868e-173	0.926405574570626	0.602837666913097	0.958792888907066	0.893561553599894	0.222516516628081	0.890274073411195	0.893561553599894	0.994487943951705	0.926405574570626	0.926405574570626	0.518200722186278	0.926405574570626	0.762469696235529	0.936453963185435	0.813458848829126	0.499801823400364	0.518200722186278	1	0.951911852081821	0.926405574570626	0.926405574570626	0.813458848829126	0.8627488764717	0.8627488764717	0.984496720996591	0.602837666913097	0.95096245970748	0.677266132689928	0.813458848829126	0.721903676535917	0.721903676535917
"Shuttleworthia"	0.386948605664027	0.936327721999544	0.720422973716699	0.0783621068590998	0.96646431303403	0.156875428079449	0.36106919221707	0.95641184556698	0.817021978730987	0.0892147456288851	0.438476190774299	0.377540399343502	0.17758641416076	0.0927702471606194	0.218237958571846	0.692985019021663	0.417398827696802	0.532416938314745	0.667373367814025	0	0.926405574570626	0.926405574570626	0.999089350382565	0.984496720996591	0.999089350382565	0.721903676535917	0.926405574570626	0.926405574570626	0.951911852081821	0.926405574570626	0.893561553599894	0.926405574570626	0.893561553599894	0.862214635038963	0.926405574570626	0.926405574570626	0.926405574570626	0.926405574570626	0.923188185028595	0.923188185028595	0.881392988275224	0.893561553599894	0.926405574570626	0.926405574570626	0.926405574570626	0.926405574570626	0.926405574570626	0.926405574570626	0.926405574570626	0.926405574570626
