# Constructed from biom file
#OTU ID	A1	A2	A3	B1	B2	B3
609933	13.0	0.0	0.0	0.0	0.0	0.0
191694	0.0	241.0	301.0	32.0	461.0	415.0
337461	0.0	0.0	0.0	31.0	9.0	13.0
159007	0.0	0.0	0.0	28.0	0.0	0.0
289730	0.0	42.0	30.0	0.0	72.0	39.0
2311550	0.0	0.0	0.0	0.0	15.0	0.0
557750	0.0	0.0	20.0	0.0	32.0	12.0
308357	0.0	0.0	13.0	0.0	0.0	19.0
2066542	47.0	0.0	0.0	0.0	0.0	0.0
190003	0.0	0.0	10.0	0.0	30.0	0.0
310669	0.0	0.0	18.0	0.0	0.0	16.0
561961	0.0	0.0	0.0	0.0	0.0	5.0
210092	0.0	73.0	80.0	51.0	0.0	0.0
187267	0.0	10.0	0.0	17.0	0.0	10.0
297318	0.0	0.0	0.0	6.0	0.0	0.0
668513	0.0	0.0	0.0	0.0	0.0	20.0
2685349	0.0	0.0	6.0	0.0	0.0	0.0
349444	0.0	0.0	0.0	3.0	0.0	0.0
4402042	0.0	0.0	0.0	0.0	0.0	4.0
2403301	8.0	0.0	24.0	17.0	0.0	35.0
293578	0.0	0.0	0.0	23.0	0.0	0.0
4306843	0.0	25.0	32.0	113.0	18.0	70.0
331088	11.0	0.0	0.0	0.0	0.0	0.0
23277	6.0	0.0	0.0	0.0	0.0	0.0
332800	0.0	0.0	10.0	0.0	0.0	8.0
4308154	0.0	0.0	0.0	0.0	0.0	39.0
851704	6.0	0.0	0.0	0.0	0.0	0.0
311426	0.0	0.0	0.0	0.0	0.0	19.0
292016	0.0	0.0	0.0	5.0	0.0	0.0
584263	0.0	0.0	13.0	0.0	14.0	0.0
183650	0.0	0.0	0.0	0.0	0.0	4.0
524471	0.0	0.0	36.0	87.0	0.0	0.0
180107	0.0	0.0	9.0	0.0	0.0	0.0
341263	0.0	12.0	20.0	26.0	0.0	52.0
842598	0.0	85.0	25.0	0.0	4.0	18.0
288428	12.0	0.0	13.0	0.0	0.0	6.0
4415760	0.0	0.0	0.0	56.0	0.0	0.0
297669	0.0	0.0	8.0	0.0	0.0	7.0
352182	0.0	0.0	0.0	16.0	0.0	0.0
805185	0.0	0.0	0.0	0.0	8.0	0.0
329195	0.0	0.0	43.0	0.0	22.0	0.0
183815	0.0	0.0	0.0	11.0	0.0	23.0
348617	0.0	0.0	0.0	9.0	0.0	0.0
298141	0.0	0.0	0.0	20.0	0.0	0.0
160750	0.0	20.0	17.0	40.0	9.0	65.0
270385	0.0	0.0	0.0	38.0	0.0	21.0
562376	0.0	0.0	0.0	0.0	7.0	0.0
153647	0.0	22.0	6.0	0.0	0.0	0.0
210890	0.0	0.0	0.0	0.0	0.0	12.0
333820	0.0	0.0	0.0	31.0	0.0	0.0
313603	13.0	0.0	0.0	0.0	0.0	0.0
4368464	0.0	15.0	0.0	0.0	0.0	0.0
508945	0.0	18.0	9.0	24.0	7.0	26.0
189279	0.0	0.0	0.0	3.0	0.0	0.0
590209	0.0	0.0	0.0	0.0	0.0	10.0
183838	0.0	0.0	11.0	0.0	0.0	15.0
290647	15.0	114.0	353.0	74.0	403.0	505.0
1128945	0.0	0.0	0.0	0.0	27.0	0.0
347188	0.0	17.0	16.0	0.0	26.0	0.0
301730	0.0	0.0	0.0	0.0	0.0	8.0
827195	4.0	0.0	0.0	0.0	0.0	0.0
4355739	0.0	24.0	0.0	0.0	0.0	5.0
327049	0.0	54.0	45.0	220.0	55.0	142.0
271582	34.0	0.0	0.0	0.0	0.0	0.0
294497	0.0	13.0	0.0	0.0	0.0	0.0
262944	0.0	0.0	0.0	6.0	0.0	5.0
314949	0.0	0.0	0.0	6.0	0.0	0.0
4404187	0.0	0.0	7.0	10.0	0.0	12.0
530061	0.0	0.0	14.0	51.0	0.0	33.0
189116	0.0	0.0	0.0	0.0	0.0	6.0
519882	0.0	0.0	3.0	0.0	0.0	0.0
335757	0.0	0.0	0.0	34.0	0.0	0.0
308319	0.0	0.0	0.0	4.0	0.0	0.0
294709	0.0	18.0	0.0	0.0	0.0	26.0
4308666	0.0	6.0	0.0	0.0	0.0	5.0
297418	0.0	0.0	0.0	21.0	0.0	0.0
327073	0.0	8.0	5.0	0.0	9.0	0.0
356245	0.0	0.0	0.0	0.0	0.0	1.0
355203	0.0	22.0	35.0	10.0	10.0	26.0
303279	0.0	13.0	9.0	25.0	0.0	31.0
4300118	0.0	0.0	0.0	2.0	0.0	0.0
4446317	0.0	0.0	19.0	0.0	17.0	6.0
290804	0.0	0.0	2.0	0.0	0.0	0.0
4330382	0.0	0.0	0.0	0.0	8.0	3.0
581201	0.0	0.0	0.0	0.0	0.0	12.0
543614	12.0	0.0	0.0	0.0	0.0	0.0
584425	0.0	7.0	0.0	0.0	0.0	6.0
321960	0.0	0.0	0.0	0.0	0.0	16.0
515552	0.0	0.0	0.0	21.0	0.0	20.0
354275	0.0	0.0	0.0	0.0	0.0	39.0
4322752	0.0	0.0	0.0	15.0	0.0	0.0
